rxcui,final_codes,fix_action,confidence,evidence
1093331,,OTHER,MED,"Niacinamide topical cream; no WHO leaf exists for topical nicotinamide (checked D10AX - not listed); A11HA01 is the vitamin-supplement context, wrong for a topical acne cream; genuine WHO gap"
1099585,R01BA02|R06AX07,KEEP_CURRENT,HIGH,Oral OTC cough-cold combination; no dedicated WHO combo code exists for this ingredient set; current_final already correctly lists each active ingredient's oral-context code (oral decongestants R01BA0x correctly kept per route rule)
1113516,D01AE12,OTHER,HIGH,Salicylic acid Topical Gel; D11AF ('Wart and anti-corn preparations') is an empty L4 branch with zero L5 members; D01AE12 is the real WHO leaf
1116309,N05CA06|R03CA02,OTHER,MED,"Ephedrine/secobarbital tablet (historical bronchodilator+sedative combo); R03CA02 (respiratory ephedrine) applies, not cardiac C01CA26"
1144761,A11HA02|A16AA06|B03BA05|B03BB01,USE_ATCPROD,MED,"A11JC is an empty WHO L4 branch (no dedicated combo L5); production's per-ingredient set (betaine A16AA06, pyridoxine A11HA02, mecobalamin B03BA05, folic acid B03BB01) is the correct minimal per-ingredient fallback"
1188571,D01AE12,OTHER,HIGH,"Salicylic acid Topical Cream; current_final D02AF ('Salicylic acid preparations') is an empty WHO L4 branch with zero active L5 members; D01AE12 is the real, only WHO leaf for topical salicylic acid"
1094354,G04BX06|J01EB02,OTHER,HIGH,"Phenazopyridine/sulfamethizole tablet; drop B05CA04 (irrigation-context sulfamethizole, wrong), keep urinary-analgesic G04BX06 + systemic antibiotic J01EB02"
1099579,R01BA02|R06AX07,KEEP_CURRENT,HIGH,Oral OTC cough-cold combination; no dedicated WHO combo code exists for this ingredient set; current_final already correctly lists each active ingredient's oral-context code (oral decongestants R01BA0x correctly kept per route rule)
1114389,D08AX01,KEEP_CURRENT,HIGH,Hydrogen peroxide topical solution (Perox-400); D08AX01 already correct
413251,D08AE04,OTHER,HIGH,Triclosan medicated soap/foam/pad; D08AE04 (topical antiseptic) is correct; D09AA06 (medicated-dressing context) is wrong product-form pollution
422996,D01AE12,KEEP_CURRENT,HIGH,"Topical salicylic acid product; D01AE12 (salicylic acid) is the only WHO L5 for topical salicylic acid; N02BA04 (sodium salicylate, systemic analgesic) is a different-substance cross-contamination artifact"
616454,D01AE12|D08AX05,KEEP_CURRENT,HIGH,Isopropyl alcohol/salicylic acid/sodium thiosulfate topical lotion; both real per-ingredient codes already correct
858780,M01AE01|R05DA03,OTHER,HIGH,Hydrocodone/ibuprofen tablet (Ibudone); M01AE01 (ibuprofen) + R05DA03 (hydrocodone)
860040,R01BA01|R01BA03|R05DA03|R06AB05|R06AC01,KEEP_CURRENT,HIGH,Oral OTC cough-cold combination; no dedicated WHO combo code exists for this ingredient set; current_final already correctly lists each active ingredient's oral-context code (oral decongestants R01BA0x correctly kept per route rule)
1001755,D08AJ08,KEEP_CURRENT,HIGH,Benzethonium/menthol topical spray; D08AJ08 already correct
1041834,A06AC07|A12AA04,OTHER,MED,Calcium carbonate/wheat dextrin chewable tablet; add calcium's real code A12AA04 alongside wheat-fiber code A06AC07
1048141,R02AD04,KEEP_CURRENT,HIGH,"Dyclonine oral lozenge (Sucrets); throat-lozenge route, R02AD04 correct"
1053099,D01AE12,KEEP_CURRENT,HIGH,"Topical salicylic acid product; D01AE12 (salicylic acid) is the only WHO L5 for topical salicylic acid; N02BA04 (sodium salicylate, systemic analgesic) is a different-substance cross-contamination artifact"
249357,G03AA09,KEEP_CURRENT,HIGH,Desogestrel+ethinylestradiol tablet; G03AA09 already correct
282663,D01AE12,OTHER,HIGH,Salicylic acid Topical Cream; D02AF is an empty L4 branch; correct real leaf is D01AE12
1656660,B05CB04,KEEP_CURRENT,MED,"Sodium bicarbonate antacid granules (Brioschi); B05CB04 is WHO's only sodium bicarbonate code (irrigation-class), no distinct oral-antacid leaf exists"
1737554,,OTHER,MED,Petrolatum/zinc oxide paste (Z-Guard); D02AB empty branch; no WHO code exists for this OTC skin-protectant paste
1190943,S01FA01,KEEP_CURRENT,HIGH,Atropine ophthalmic solution; S01FA01 (ophthalmic mydriatic) already correct
860246,R01BA03|R05CA03|R05DA03,KEEP_CURRENT,HIGH,Oral OTC cough-cold combination; no dedicated WHO combo code exists for this ingredient set; current_final already correctly lists each active ingredient's oral-context code (oral decongestants R01BA0x correctly kept per route rule)
1005852,D10AB02|D10AF06,KEEP_CURRENT,HIGH,Sulfacetamide/sulfur topical cream; already correct
1046423,A01AA02,KEEP_CURRENT,HIGH,Calcium glycerophosphate/pyridoxine/sodium monofluorophosphate toothpaste; A01AA02 already correct
1193294,N02BE01|R01BA03|R06AB04,KEEP_CURRENT,HIGH,Oral OTC cough-cold combination; no dedicated WHO combo code exists for this ingredient set; current_final already correctly lists each active ingredient's oral-context code (oral decongestants R01BA0x correctly kept per route rule)
858895,R01BA03|R05DA03|R06AA08,KEEP_CURRENT,HIGH,Oral OTC cough-cold combination; no dedicated WHO combo code exists for this ingredient set; current_final already correctly lists each active ingredient's oral-context code (oral decongestants R01BA0x correctly kept per route rule)
1000921,D10AB02|D10AF06,KEEP_CURRENT,HIGH,Sulfacetamide/sulfur liquid soap; already correct
1046787,A03CB02,OTHER,HIGH,Atropine/hyoscyamine/phenobarbital/scopolamine oral solution (Donnatal Elixir pattern); A03CB02 'belladonna total alkaloids and psycholeptics' is the exact WHO match
1794904,B05BB02,OTHER,HIGH,Glucose/NaCl injection contains carbohydrate; should be B05BB02 not B05BB01
1795150,B05BB02,OTHER,HIGH,Glucose/NaCl injection contains carbohydrate; should be B05BB02 not B05BB01
1797115,D01AC02,KEEP_CURRENT,HIGH,Miconazole topical solution; D01AC02 (topical antifungal) already correct
1101869,A01AA01,OTHER,HIGH,"Sodium fluoride toothpaste; A01AA01 (dental) correct, drop A12CD01 (systemic mineral supplement, wrong for toothpaste)"
857533,R05DA03,OTHER,LOW,"Aspirin/hydrocodone tablet; no dedicated WHO combo code found for aspirin+hydrocodone (unlike acetaminophen+hydrocodone which has N02AJ22); keep hydrocodone's context code, drop aspirin monotherapy pollution (A01AD05/B01AC06/N02BA01)"
860099,R01BA03|R05DA03|R06AC01,KEEP_CURRENT,HIGH,Oral OTC cough-cold combination; no dedicated WHO combo code exists for this ingredient set; current_final already correctly lists each active ingredient's oral-context code (oral decongestants R01BA0x correctly kept per route rule)
1039702,D08AE04,OTHER,HIGH,Triclosan medicated soap/foam/pad; D08AE04 (topical antiseptic) is correct; D09AA06 (medicated-dressing context) is wrong product-form pollution
1085918,J01FF01,KEEP_CURRENT,HIGH,Clindamycin oral solution (ClindaCure); systemic route J01FF01 already correct
238240,C04AB02,KEEP_CURRENT,HIGH,Tolazoline injectable; C04AB02 (systemic vasodilator) already correct
208320,D07AC08,OTHER,HIGH,Fluocinonide topical cream (Lidex); D07AC08 (potent topical corticosteroid) correct; C05AA11 (hemorrhoid context) wrong
1052475,D08AE04,OTHER,HIGH,Triclosan medicated soap/foam/pad; D08AE04 (topical antiseptic) is correct; D09AA06 (medicated-dressing context) is wrong product-form pollution
1053097,D01AE12,KEEP_CURRENT,HIGH,"Topical salicylic acid product; D01AE12 (salicylic acid) is the only WHO L5 for topical salicylic acid; N02BA04 (sodium salicylate, systemic analgesic) is a different-substance cross-contamination artifact"
1739846,D04AB01,OTHER,MED,Allantoin/lidocaine topical cream; D04AB01 (topical lidocaine) correct for generic cream; drop hemorrhoid-context C05AD01
1858836,G03AA11,KEEP_CURRENT,HIGH,Tri-Lo-Mili (norgestimate+ethinylestradiol); G03AA11 already correct
1874747,M02AB01,KEEP_CURRENT,HIGH,Capsaicin alone topical solution; M02AB01 already correct
1876751,D04AB01|M02AB01,OTHER,MED,"Capsaicin/lidocaine/menthol/methyl salicylate topical ointment; M02AC empty branch -> M02AB01 (capsaicin); add D04AB01 (lidocaine, topical)"
1876810,G03AA09,KEEP_CURRENT,HIGH,Simliya (desogestrel+ethinylestradiol); G03AA09 already correct
1243772,N02BE01|R01BA03|R05CA03|R05DA04,KEEP_CURRENT,HIGH,Oral OTC cough-cold combination; no dedicated WHO combo code exists for this ingredient set; current_final already correctly lists each active ingredient's oral-context code (oral decongestants R01BA0x correctly kept per route rule)
1248142,B03AE04,KEEP_CURRENT,HIGH,duplicate safeguard
1250494,D07AA02,OTHER,MED,"Plain hydrocortisone acetate Topical Cream (Hycort), single ingredient; D07AA02 correct monotherapy code"
1291380,C05AA01,OTHER,MED,Proctosol hydrocortisone rectal cream for hemorrhoids; C05AA01 fits indication
1292998,A03BB03|R01BA03|R06AB04,KEEP_CURRENT,HIGH,Oral OTC cough-cold combination; no dedicated WHO combo code exists for this ingredient set; current_final already correctly lists each active ingredient's oral-context code (oral decongestants R01BA0x correctly kept per route rule)
1293499,R01BA03|R06AC01,KEEP_CURRENT,HIGH,Oral OTC cough-cold combination; no dedicated WHO combo code exists for this ingredient set; current_final already correctly lists each active ingredient's oral-context code (oral decongestants R01BA0x correctly kept per route rule)
1302856,A08AA51,KEEP_CURRENT,HIGH,Qsymia (phentermine/topiramate); A08AA51 dedicated combo code already correct
1305205,A11CA01|A11CC01|A11DA01|A11GA01|A11HA01|A11HA02|A11HA04|A11HA05|A11HA30|B02BA01|B03BA01|B03BB01,KEEP_CURRENT,HIGH,"Parenteral pediatric multivitamin, no iron; current_final's per-ingredient set matches production exactly and each code is a valid distinct WHO vitamin code; no dedicated combo L5 exists (A11JA/JB/JC empty)"
1358505,D07CA02,OTHER,HIGH,Methylprednisolone/neomycin topical ointment (Neo-Medrol); D07CA02 'methylprednisolone and antibiotics' is the dedicated WHO combo code
1483665,D08AX08,KEEP_CURRENT,HIGH,Ethanol topical gel; D08AX08 (topical antiseptic) already correct; V03AB16/V03AZ01 (antidote-context) wrong
1487925,C05AD07|C05AX06,KEEP_CURRENT,HIGH,"Phenylephrine/pramoxine rectal cream (Nikzon, hemorrhoid product); phenylephrine correctly C05AX06 (hemorrhoid vasoconstrictor context) and pramoxine C05AD07; both already correct"
1495165,D01AC08|D08AC02,OTHER,MED,"Chlorhexidine/ketoconazole/salicyloyl-phytosphingosine topical solution; D08AC02 (chlorhexidine) + D01AC08 (ketoconazole, topical), drop D09AA12 dressing-context"
1546195,P02CF01,KEEP_CURRENT,HIGH,Ivermectin oral solution; systemic route already correct
1862735,D01AE12,KEEP_CURRENT,HIGH,"Topical salicylic acid product; D01AE12 (salicylic acid) is the only WHO L5 for topical salicylic acid; N02BA04 (sodium salicylate, systemic analgesic) is a different-substance cross-contamination artifact"
1873628,M02AB01,KEEP_CURRENT,HIGH,Capsaicin/methyl salicylate medicated patch; M02AB01 already correct
1246247,D11AX12,USE_ATCPROD,HIGH,"Zinc pyrithione shampoo; D11AC is generic L4 'Medicated shampoos'; D11AX12 (pyrithione zinc) is the correct WHO leaf, matches production"
1362082,B01AC30,OTHER,MED,Aspirin/dipyridamole ER capsule (Aggrenox); B01AC30 'combinations' is WHO's dedicated antiplatelet-combination bucket for this product; per WHO note aspirin used as antithrombotic agent is classified in B01AC
1495474,N02AJ22,KEEP_CURRENT,HIGH,Lortab (acetaminophen/hydrocodone); N02AJ22 dedicated combo code already correct
1536815,N02BA51,KEEP_CURRENT,HIGH,Aspirin/caffeine effervescent tablet; N02BA51 already correct
1537207,D01AE12,KEEP_CURRENT,MED,"Salicylic acid/sodium thiosulfate medicated shampoo; D01AE12 correct; sodium thiosulfate's only WHO code (V03AB06) is for systemic cyanide-antidote use, wrong context for a topical shampoo ingredient - no WHO code applies to this use"
1551417,D04AB06|D06AX04,OTHER,MED,Isoflupredone/neomycin/tetracaine topical powder (veterinary); isoflupredone has no WHO human ATC code; add tetracaine D04AB06 alongside neomycin D06AX04
1357936,R01BA02|R05DB05|R06AC01,KEEP_CURRENT,HIGH,Oral OTC cough-cold combination; no dedicated WHO combo code exists for this ingredient set; current_final already correctly lists each active ingredient's oral-context code (oral decongestants R01BA0x correctly kept per route rule)
1298742,R02AA06,KEEP_CURRENT,HIGH,Cetylpyridinium/menthol oral lozenge; R02AA06 already correct
1304566,D01AE12,OTHER,MED,Coal tar + salicylic acid medicated shampoo; D05AA ('Tars') is an empty L4 branch (no WHO L5 for coal tar); salicylic acid correctly coded D01AE12 (minimal correct per-ingredient set since no dedicated combo exists)
1313927,B03AE03,OTHER,MED,"Cholecalciferol/polysaccharide iron complex oral solution (iron + one vitamin, no B12/folic/minerals); closest WHO fit is B03AE03 'iron and multivitamins'"
1368311,D01AE12,KEEP_CURRENT,HIGH,"Topical salicylic acid product; D01AE12 (salicylic acid) is the only WHO L5 for topical salicylic acid; N02BA04 (sodium salicylate, systemic analgesic) is a different-substance cross-contamination artifact"
1370099,D08AE04,OTHER,HIGH,Triclosan medicated soap/foam/pad; D08AE04 (topical antiseptic) is correct; D09AA06 (medicated-dressing context) is wrong product-form pollution
1425912,,OTHER,MED,Calamine/menthol/zinc oxide topical ointment; D04AX ('Other antipruritics') - none of these ingredients has a distinct WHO leaf under this or any branch checked; genuine gap
1438778,G03AA09,KEEP_CURRENT,HIGH,Pimtrea (desogestrel+ethinylestradiol); G03AA09 already correct
1541083,M02AB01,OTHER,MED,Camphor/capsaicin/menthol/methyl salicylate topical cream; M02AC empty branch -> M02AB01
1547998,J01FF01,KEEP_CURRENT,HIGH,Clindamycin oral solution (Clindrops); systemic route J01FF01 already correct
1549484,D04AB01,OTHER,HIGH,"Lidocaine topical solution; D04AB01 correct, drop hemorrhoid-context C05AD01"
1601982,B05BA01,KEEP_CURRENT,HIGH,"Plenamine parenteral amino acid solution, no carbohydrate; B05BA01 already correct"
197382,C07CB03,KEEP_CURRENT,HIGH,Atenolol/chlorthalidone tablet; C07CB03 dedicated combo already correct
1248241,A06AA02|A06AB04,KEEP_CURRENT,HIGH,"Docusate/phenolphthalein capsule; already correct, no dedicated combo code exists"
1248590,D08AX01,OTHER,MED,Hydrogen peroxide topical solution (ActiveOxy); D08AX01 (general topical) preferred single code over acne-specific D11AX25
1250904,R01BA03|R06AB04,KEEP_CURRENT,HIGH,Oral OTC cough-cold combination; no dedicated WHO combo code exists for this ingredient set; current_final already correctly lists each active ingredient's oral-context code (oral decongestants R01BA0x correctly kept per route rule)
1251363,A02AD01,OTHER,MED,"Genaton (aluminum hydroxide/magnesium carbonate, no simethicone); A02AD01 'ordinary salt combinations' (no antiflatulent suffix since no simethicone)"
1299064,D01AE12,KEEP_CURRENT,HIGH,"Topical salicylic acid product; D01AE12 (salicylic acid) is the only WHO L5 for topical salicylic acid; N02BA04 (sodium salicylate, systemic analgesic) is a different-substance cross-contamination artifact"
1301128,D08AE04,OTHER,HIGH,Triclosan medicated soap/foam/pad; D08AE04 (topical antiseptic) is correct; D09AA06 (medicated-dressing context) is wrong product-form pollution
1436369,M02AB01,OTHER,MED,Capsaicin/menthol/methyl salicylate topical cream (Medi-Derm); M02AC empty branch -> M02AB01
1600925,N02BA03|N06BC01,KEEP_CURRENT,HIGH,Caffeine/choline salicylate oral solution; both real per-ingredient codes already correct
1601097,D04AB01|M02AB01,OTHER,MED,LidoPro (capsaicin/lidocaine/menthol/methyl salicylate); M02AC empty branch -> M02AB01 (capsaicin) + D04AB01 (lidocaine)
1648132,D01AC08|D07AA02|D08AC02,KEEP_CURRENT,HIGH,Chlorhexidine/hydrocortisone/ketoconazole medicated shampoo; current_final already correctly uses topical-context codes for all three ingredients
686383,J01EB05|J01FA01,KEEP_CURRENT,MED,"Erythromycin ethylsuccinate/sulfisoxazole oral suspension (Pediazole); no dedicated combo code found, per-ingredient set correct"
701198,D09AA08,KEEP_CURRENT,MED,Aluminum chlorohydrate topical gel (antiperspirant); D09AA08 is the best available real WHO leaf
723770,D01AE12,KEEP_CURRENT,HIGH,"Topical salicylic acid product; D01AE12 (salicylic acid) is the only WHO L5 for topical salicylic acid; N02BA04 (sodium salicylate, systemic analgesic) is a different-substance cross-contamination artifact"
707347,R01AX,KEEP_CURRENT,HIGH,Hyper-Sal inhalation solution; R01AX already correct
864679,P01BB51,KEEP_CURRENT,HIGH,Malarone (atovaquone/proguanil); P01BB51 dedicated combo code already correct
860932,C05AD03|R06AA10,OTHER,MED,Benzocaine/trimethobenzamide rectal suppository (Tebamide); benzocaine already correctly C05AD03 (anorectal); add trimethobenzamide's real antiemetic code R06AA10
992730,A03BB06|R05DA03,KEEP_CURRENT,HIGH,"Homatropine methylbromide/hydrocodone oral solution (Hycodan-type antitussive, not a psycholeptic combo); already correct per-ingredient set"
994010,M01AE52,KEEP_CURRENT,HIGH,Vimovo (esomeprazole/naproxen); M01AE52 dedicated combo code already correct
309786,B05BB02,KEEP_CURRENT,HIGH,Glucose/KCl injection; B05BB02 already correct
312057,A07AA02|J01AA06,OTHER,HIGH,"Nystatin/oxytetracycline oral capsule; systemic use, drop dental A01AB25, keep GI nystatin A07AA02 + systemic oxytetracycline J01AA06"
1088443,A16AA01|C01EB09,USE_ATCPROD,MED,"6-O-palmitoylascorbic acid/tocopherol/levocarnitine/ubidecarenone capsule; C01EX empty branch; production's per-ingredient set (A16AA01 levocarnitine, C01EB09 ubidecarenone) is the best available fallback; ascorbic-acid-ester and tocopherol acetate have no additional distinct codes beyond what's captured"
206370,D07AA02,OTHER,MED,"Plain hydrocortisone Topical Lotion (Cortane), single ingredient; D07AA02 correct monotherapy code"
206951,J01GB04,OTHER,HIGH,"Kanamycin injectable solution; systemic route J01GB04 correct, drop A07AA08 (oral/GI context) wrong route"
346765,S02DA30,OTHER,MED,"Antipyrine/benzocaine otic solution (Auralgan-type); benzocaine has no otic-specific WHO code, but S02DA30 'combinations' is the dedicated otic-analgesic-combination bucket"
763106,J07BF03,KEEP_CURRENT,HIGH,Ipol trivalent inactivated poliovirus vaccine; J07BF03 already correct
895901,P02BA01|P02CC01|P02CF01,KEEP_CURRENT,HIGH,Iverhart Max (ivermectin/praziquantel/pyrantel); already correct oral/systemic per-ingredient set
310201,G03CA57,USE_ATCPROD,MED,Conjugated estrogens + estrone injectable; conjugated estrogens (G03CA57) already encompasses a blend of natural estrogens including estrone; no dedicated combo code exists beyond this
801574,B05BA10,OTHER,MED,Same amino-acid+glucose TPN pattern as 801584; B05BA10
308501,D06AX04|D06AX05,KEEP_CURRENT,HIGH,Bacitracin/neomycin/polymyxin B topical ointment; already correct per-ingredient set
890862,J01CE09,OTHER,HIGH,"Penicillin G procaine injectable suspension; J01CE09 (procaine benzylpenicillin) matches exact salt form; drop J01CE01 (plain benzylpenicillin, wrong salt)"
993253,D08AX01,KEEP_CURRENT,MED,Benzenesulfonic acid/hydrogen peroxide/lactic acid topical solution; D08AX01 (hydrogen peroxide) correct; other ingredients have no applicable topical WHO codes
198501,D01AE20,OTHER,MED,"Benzoic acid + salicylic acid Topical Ointment = classic Whitfield's ointment; D01AE20 'combinations' is the dedicated WHO code for antifungal salicylic-acid combinations, preferred over plain D01AE12"
204420,D07AA02,OTHER,MED,"Plain hydrocortisone Paste, single ingredient; D07AA02 correct monotherapy code"
404094,J01AA08,OTHER,HIGH,"Minocycline oral tablet; systemic route, J01AA08 correct; A01AB23 (dental) wrong route"
993776,D11AX22,KEEP_CURRENT,HIGH,Ivermectin topical solution (Agri-Mectin); topical route D11AX22 already correct
312603,S01CA02,OTHER,HIGH,Prednisolone/sulfacetamide ophthalmic suspension; S01CA02 dedicated combo code
687099,B03AA02|B03BB01,KEEP_CURRENT,HIGH,"Ferrous fumarate/folic acid/polysaccharide iron capsule (no B12, no other vitamins); per-ingredient set already correct, no exact B03AE suffix match"
706458,A12BA01,KEEP_CURRENT,HIGH,"Potassium chloride ER oral tablet; oral/systemic supplement route, A12BA01 correct; B05XA01 (parenteral) wrong route"
978060,D01AE12|D10AB02,KEEP_CURRENT,HIGH,Salicylic acid/sulfur medicated shampoo; both real per-ingredient codes already correct
309606,B03AE01,OTHER,HIGH,"Folic acid/polysaccharide iron/vitB12 capsule; matches B03AE01 'iron, vitamin B12 and folic acid' exactly"
200869,C01DA08,OTHER,HIGH,Isosorbide dinitrate oral tablet (Sorbitrate); C01DA08 (antianginal) correct; C05AE02 (hemorrhoid muscle-relaxant context) wrong
749760,G03AA05,USE_ATCPROD,HIGH,Tri-Norinyl (norethindrone+ethinylestradiol); G03AA05
899866,G03AA01,KEEP_CURRENT,HIGH,Demulen (ethynodiol+ethinylestradiol); G03AA01 already correct
199156,A11HA03|C01EB09,USE_ATCPROD,HIGH,Ubidecarenone/vitamin E capsule; C01EX empty branch; production's per-ingredient set correct
727821,B05CB01,OTHER,MED,"Sodium chloride prefilled syringe (flush/injection use); B05CB01 (salt solutions, irrigation/injection context) fits route better than A12CA01 (dietary) or B05XA03 (parenteral electrolyte, plausible alternative)"
308847,A11HA01|A12AA03|N03AA02,KEEP_CURRENT,HIGH,"Calcium gluconate/niacinamide/phenobarbital tablet; no dedicated combo code, per-ingredient set already correct"
308893,A12AA04,USE_ATCPROD,MED,Calcium carbonate oral suspension alone; A12AA04 (general calcium supplement) matches established convention for plain calcium carbonate elsewhere in this dataset
309700,R01AD03,KEEP_CURRENT,HIGH,Dexamethasone nasal inhalant; R01AD03 (nasal corticosteroid) already correct
312283,C01DA05,OTHER,HIGH,Pentaerythritol tetranitrate ER capsule; C01DA05 (organic nitrate antianginal) correct; A06AD14 is an unrelated laxative-class mismatch
1089087,R01AX,OTHER,MED,Glycerin/sodium chloride Nasal Solution (Pretz); nasal route -> R01AX; glycerin has no applicable WHO code in this context
313636,A11GA01|B03AA02|B03BB01|V03AB20,KEEP_CURRENT,HIGH,"Ascorbic acid/copper/ferrous fumarate/folic acid tablet; per-ingredient set (vitC, iron, folic acid, copper) already correct; no clean B03AE suffix matches this exact composition"
803239,B05XA30,OTHER,MED,Multitrace-4 trace-element injectable; same B05XA30 dedicated combo code
991424,S01XA20,OTHER,HIGH,"Glycerin/propylene glycol ophthalmic solution; should be S01XA20 (ophthalmic), not A06AG04/A06AX01 (oral laxative-context, wrong route)"
1086970,A02AF01,KEEP_CURRENT,HIGH,Ri-Mag Plus (magaldrate/simethicone); A02AF01 dedicated combo code already correct
1999408,S01KA01,KEEP_CURRENT,HIGH,Sodium hyaluronate prefilled syringe (Visco-3); S01KA01 already correct
204902,A11CA02,KEEP_CURRENT,HIGH,"Beta carotene oral tablet; oral vitamin-A-precursor route, A11CA02 correct; D02BB01 (topical UV) wrong route"
999748,B03AE01,OTHER,HIGH,Hematogen (ascorbic acid/ferrous fumarate/folic acid/vitB12); same composition as B03AE01 pattern
312877,D01AE12,KEEP_CURRENT,HIGH,"Salicylic acid/sodium thiosulfate topical lotion; same reasoning - V03AB06 wrong context, drop"
802762,B03AE10,KEEP_CURRENT,HIGH,Multigen (iron/vitB12/misc); B03AE10 'various combinations' catch-all already correctly assigned
836270,B03AE01,OTHER,HIGH,Ferralet 90 (ascorbic acid/docusate/folic acid/iron/vitB12); matches B03AE01 pattern (docusate is a non-coded additive)
853517,D11AC06,OTHER,MED,Povidone-iodine medicated bar soap (Pharmadine); D11AC06 (medicated shampoo/wash class) fits the wash-product form better than general D08AG02
854997,S02CA03,OTHER,HIGH,Colistin/hydrocortisone/neomycin/thonzonium otic suspension (Cortisporin-TC); S02CA03 'hydrocortisone and antiinfectives' is the dedicated otic combo code
857436,R06AA04,KEEP_CURRENT,HIGH,"Clemastine oral tablet (Antihist-1, duplicate rxcui); same as 857434"
210852,A02AD01,OTHER,MED,"Maalox (Al(OH)3/Mg(OH)2, no simethicone per drug name); A02AD01"
2119083,D08AE03,OTHER,MED,Phenol/zinc oxide topical ointment; phenol correctly D08AE03; zinc oxide has no applicable code (D02AB empty)
2181315,R01BA03|R06AB04|R06AC01,KEEP_CURRENT,HIGH,Oral OTC cough-cold combination; no dedicated WHO combo code exists for this ingredient set; current_final already correctly lists each active ingredient's oral-context code (oral decongestants R01BA0x correctly kept per route rule)
2182353,R01BA03|R05DA03|R06AB04,KEEP_CURRENT,HIGH,Oral OTC cough-cold combination; no dedicated WHO combo code exists for this ingredient set; current_final already correctly lists each active ingredient's oral-context code (oral decongestants R01BA0x correctly kept per route rule)
1093178,S01XA18,KEEP_CURRENT,HIGH,"Cyclosporine ophthalmic ointment (Optimmune, veterinary dry-eye); S01XA18 (ophthalmic) already correct; L04AD01 (systemic immunosuppressant) wrong route"
1095618,R01BA03|R05DB10|R06AX07,KEEP_CURRENT,HIGH,Oral OTC cough-cold combination; no dedicated WHO combo code exists for this ingredient set; current_final already correctly lists each active ingredient's oral-context code (oral decongestants R01BA0x correctly kept per route rule)
1098601,S01XA20,KEEP_CURRENT,HIGH,Glycerin/propylene glycol ophthalmic solution (Soothe); S01XA20 already correct
1101885,A01AA01,OTHER,HIGH,Sodium fluoride toothpaste (Thera-Flur-N); same correction
1112687,G03AA07,KEEP_CURRENT,HIGH,Amethia (levonorgestrel+ethinylestradiol); G03AA07 already correct
1145012,D08AA02,OTHER,LOW,Allantoin/aminacrine/sulfanilamide vaginal cream; same reasoning as 307830
477174,,OTHER,MED,Zinc oxide alone paste; D02AB empty branch; genuine WHO gap
607076,A12CC10,OTHER,LOW,"Magnesium oxide capsule (MagGel); genuine ambiguity between antacid (A02AA02), laxative (A06AD02), and mineral-supplement (A12CC10) use context; no dose/indication signal to disambiguate; picking general mineral-supplement code"
859146,R01BA03|R05DA03|R06AB04,KEEP_CURRENT,HIGH,Oral OTC cough-cold combination; no dedicated WHO combo code exists for this ingredient set; current_final already correctly lists each active ingredient's oral-context code (oral decongestants R01BA0x correctly kept per route rule)
1012188,S01CA02,OTHER,HIGH,Metimyd (prednisolone/sulfacetamide ophthalmic); S01CA02 dedicated combo code
1013028,D10AB02|D10AF06,KEEP_CURRENT,HIGH,Sulfacetamide/sulfur liquid soap (Rosula); already correct
1037344,R01BA01|R06AB05|R06AC01,KEEP_CURRENT,MED,Pheniramine/phenylpropanolamine/phenyltoloxamine/pyrilamine capsule; phenyltoloxamine has no WHO code (accepted gap); remaining 3 ingredients correctly coded
1048047,A03BA03|G04BX12|J01XX05,USE_ATCPROD,MED,Utira (hyoscyamine/methenamine/methylene blue/phenyl salicylate/sodium phosphate urinary antiseptic); methylene blue's only WHO codes are antidote/diagnostic-context (wrong use here) and sodium phosphate has no code; production's 3-code set is the best achievable
1086235,H02AB08,OTHER,HIGH,Triamcinolone diacetate injectable suspension (Cortilone); H02AB08 correct for injectable route
